species	x	y
p_rigida	-47.5	-13.766667
p_rigida	-47.866667	-15.95
p_rigida	-47.468639	-13.690972
p_rigida	-51.766667	-12.816667
p_rigida	-52.25	-15.883333
p_rigida	-47.5	-14.116667
p_rigida	-46.191694	-14.589083
p_rigida	-47.816667	-16.083333
p_rigida	-47.516667	-14.116667
p_rigida	-51.4189	-20.3672
p_rigida	-47.619444	-14.166667
p_rigida	-56.083333	-15.583333
p_rigida	-48.583333	-16.6
p_rigida	-46.483333	-10.333333
p_rigida	-52.666667	-16.45
p_rigida	-48.625	-17.7417
p_rigida	-47.866667	-15.883333
p_rigida	-47.883333	-15.733333
p_rigida	-47.9	-15.95
p_rigida	-47.8	-15.916667
p_rigida	-48.033333	-15.066667
p_rigida	-48.233333	-16.033333
p_rigida	-48.1	-15.6
p_rigida	-47.8	-15.716667
p_rigida	-47.845833	-15.679167
p_rigida	-47.9	-15.583333
p_rigida	-47.916667	-15.966667
p_rigida	-47.633333	-15.733333
p_rigida	-45.883333	-15.75
p_rigida	-47.716667	-15.75
p_rigida	-48.106944	-15.733333
p_rigida	-47.933333	-15.95
p_rigida	-47.883333	-15.633333
p_rigida	-47.866667	-15.766667
p_rigida	-47.95	-15.616667
p_rigida	-47.583333	-15.583333
p_rigida	-47.716667	-15.783333
p_rigida	-47.883333	-15.9
p_rigida	-47.866667	-15.683333
p_rigida	-47.8	-15.783333
p_rigida	-47.509333	-14.072694
p_rigida	-47.933333	-15.966667
p_rigida	-45.54	-14.22
p_rigida	-47.878889	-15.949722
p_rigida	-47.778056	-14.1175
p_rigida	-47.529167	-14.139444
p_rigida	-47.870278	-15.946944
p_rigida	-47.875278	-15.956944
p_rigida	-47.870278	-15.951667
p_rigida	-49.3313	-15.7976
p_rigida	-47.8725	-15.950833
p_rigida	-47.526278	-14.141278
p_rigida	-47.809444	-15.798333
p_rigida	-47.515306	-14.149361
p_rigida	-47.847222	-15.8725
p_rigida	-49.96920013	-14.54889965
p_rigida	-45.948056	-13.726111
p_rigida	-45.897778	-14.925
p_rigida	-47.93190002	-19.74830055
p_rigida	-47.828194	-14.193028
p_rigida	-50.336	-24.4426
p_rigida	-43.571111	-18.193333
p_rigida	-43.569444	-12.205556
p_rigida	-43.582778	-18.200833
p_rigida	-43.588333	-18.203333
p_rigida	-43.333333	-17.65
p_rigida	-43.566111	-18.203889
p_rigida	-53.57	-18.388333
p_rigida	-54.64640045	-20.44280052
p_rigida	-43.86169815	-16.73500061
p_rigida	-44.925556	-6.4725
p_rigida	-48.440278	-22.880556
p_rigida	-47.929444	-15.779722
p_rigida	-43.74079895	-18.45439911
p_rigida	-45.25220108	-19.7364006
p_rigida	-43.783333	-18.933333
p_rigida	-43.955417	-18.598333
p_rigida	-44.042778	-19.005833
p_rigida	-43.773611	-19.004444
p_rigida	-46.54215	-20.17205
p_rigida	-46.54154	-20.17272
